,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
14,Ananda Cafe,Coffee shop, 4.7 stars ,"Shop no 1/2 Avantika CHS Ltd, Birla Ln, Juhu, Mumbai, Maharashtra 400049",['swiggy.com'],093728 28531,Open, ⋅ Closes 10 pm
15,KC ROASTERS By Koinonia,Coffee shop, 4.7 stars ,"6, Chuim Village Rd, Khar, Chuim Village, Danda, Khar West, Mumbai, Maharashtra 400052","['zomato.com', 'kcroasters.com']",091366 50277,Open, ⋅ Closes 10 pm
16,Cafe Kokomo,Cafe, 4.8 stars ,"4, Pratap CHS Limited, Shivaji Road, Bridge, near Vakola, Santacruz East, Mumbai, Maharashtra 400055","['cafekokomo.dotpe.in', 'cafekokomo.net']",085915 15657,Unavailable,Unavailable
17,Café Arpan,Cafe, 4.8 stars ,"Shop No. 20, Juhu Ruturaj CHS Ltd, Juhu Tara Rd, opp. SNDT Womens University, Mumbai, Maharashtra 400049",['thrivenow.in'],074004 90008,Open, ⋅ Closes 8 pm
18,Mag St. Cafe,Cafe, 4.4 stars ,"4, Mandlik Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001","['swiggy.com', 'linktr.ee']",072085 44366,Open, ⋅ Closes 11:30 pm
19,The lil Paris Cafe,Cafe, 4.9 stars ,"Shop No.2, Park Paradise, Opp. Green Park Building, Oshiwara, Andheri West, Mumbai, Maharashtra 400053",[],072085 44366,Open, ⋅ Closes 12 am
20,Cafè Estrella,Cafe, 4.8 stars ,"Itus Dinanath, A1 shop, 4 bunglows, RTO Area, opposite Kokilaben hospital, Andheri West, Mumbai, Maharashtra 400053","['dineout.co.in', 'swiggy.com', 'link.zomato.com']",086571 40721,Closed, ⋅ Opens 12 pm
21,Greenr Cafe,Cafe, 4.5 stars ,"Greenr, 57/116, Drego House, Pali Naka, Dr Ambedkar Rd, Bandra West, Mumbai, Maharashtra 400050","['eazydiner.com', 'greenr.in']",085911 38613,Closed, ⋅ Opens 12:30 pm
22,Zane's Cafe,Cafe, 4.7 stars ,"R R House, Todi Mill Compound, Tulsi Pipe Rd, opposite Ideal Industrial Estate, Lower Parel, Mumbai, Maharashtra 400013","['swiggy.com', 'zomato.com']",098198 20202,Open, ⋅ Closes 12 am
23,Birdsong Organic Cafe,Cafe, 4.2 stars ,"Jenu Jenai, Off. Hill Road, Shop No. 1-5, Waroda Rd, Ranwar, Bandra West, Mumbai, Maharashtra 400050","['eazydiner.com', 'facebook.com']",099876 75188,Open, ⋅ Closes 10 pm
