,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
32,REEHAB,Night club, 4.7 stars ,"4R3J+9PQ, Woodlands Garden Cafe, Next to Archana Kochaar Showroom & Kalaneketan V M Road, Juhu, Vile Parle West, Mumbai, Maharashtra 400049",['instagram.com'],086575 98230,Closed, ⋅ Opens 5 pm
33,"Drip Therapy Studios, Mumbai",Night club,No rating available,"42, Garden Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",[],086575 98230,Unavailable,Open 24 hours
34,R Adda,Lounge, 4.0 stars ,"462, AB Nair Rd, Juhu, Mumbai, Maharashtra 400049",[],070459 47888,Closed, ⋅ Opens 7 pm
35,High Energy Bar,Night club, 3.8 stars ,"1, Juhu Tara, Juhu, Mumbai, Maharashtra 400049",['zomato.com'],070459 47888,Unavailable,Unavailable
36,BIBLOPOLE,Night club, 4.2 stars ,"C-7, Off New Link Rd, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400102",[],070459 47888,Unavailable,Unavailable
37,Friendship Club In Mumbai,Disco club,No rating available,"Shop No.2, Tiwari Niwas, Swami Vivekananda Marg, nr. Baul Pal Chawl, Dharkhadi, Dahisar East, Mumbai, Maharashtra 400068",[],070459 47888,Unavailable,Unavailable
38,Mumbai Beach,Night club, 4.3 stars ,"3RVG+9HC, Janki Kutir, Theosophical Housing Colony, Juhu, Mumbai, Maharashtra 400049",[],070459 47888,Unavailable,Unavailable
39,Mumbai Beach,Night club, 4.3 stars ,"3RVG+9HC, Janki Kutir, Theosophical Housing Colony, Juhu, Mumbai, Maharashtra 400049",[],070459 47888,Unavailable,Unavailable
40,Cavalry The Lounge,Lounge, 4.1 stars ,"2nd Floor, Heera Panna Shopping Center, Hiranandani Gardens, Powai, Mumbai, Maharashtra 400076",[],074000 84431,Closed, ⋅ Opens 3 pm
41,HEX - High Energy Xperience - Club Andheri,Club, 4.4 stars ,"Sharyans Audeu 601/ 6th Floor, Fun Cinema Lane, Off Veera Desai Rd, near Balaji Telefilms, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400053",[],098347 02960,Closed, ⋅ Opens 7 pm
42,Reehab juhu,Night club, 3.6 stars ,"101 Blue Moom Mourya, New Link Road, Andheri West, Mumbai -, 400053 Opposite Citi Mall, 4, Oshiwara, Link Road, Phase D, Shastri Nagar, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400102",[],099677 02525,Closed, ⋅ Opens 5 pm
43,Music Anonymous,Night club,No rating available,"Silver Line, 404, 2nd Hansabad Lane, Santacruz, Santacruz, Mumbai, Maharashtra 400054",[],099677 02525,Unavailable,Unavailable
44,Mumbai,Night club,No rating available,"XR28+PPQ, Marine Drive, Charni Road East, Chowpatty, Girgaon, Mumbai, Maharashtra 400007",[],099677 02525,Unavailable,Unavailable
45,Amjad's Den,Night club, 5.0 stars ,"14th Rd, Bandra West, Mumbai, Maharashtra 400050",[],099677 02525,Closed, ⋅ Opens 2 am Mon
46,The Bombay Presidency Radio Club Limited,Club, 4.3 stars ,"157, Arthur Bunder Rd, Apollo Bandar, Colaba, Mumbai, Maharashtra 400001",['radioclub.in'],099677 02525,Open, ⋅ Closes 11 pm
47,LIV Bombay,Disco club, 5.0 stars ,"Temple Bar Building, 145, Mahatma Gandhi Road, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",[],099677 02525,Closed, ⋅ Opens 8 pm
48,Music Cafe,Disco club, 4.7 stars ,"Star Mall, N C. Kelkar Marg, Kelkar Wadi, Dadar, Mumbai, Maharashtra 400028",[],088790 37844,Open, ⋅ Closes 10 pm
49,Bulbul dance bar,Night club,No rating available,"3W22+V6J, Basant Garden, Chembur, Mumbai, Maharashtra 400071",[],088790 37844,Unavailable,Unavailable
50,G.Y.B (Katta),Night club, 5.0 stars ,"3W34+8HJ, S K Patankar Rd, Nagesh Patilwadi, Chembur, Mumbai, Maharashtra 400071",[],088790 37844,Unavailable,Unavailable
