,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
47,Ayaan Game Zone,Internet cafe, 5.0 stars ,"L Room, Plot no 39 LINe, 1, Road No. 14, Govandi Slums, Govandi West, Kamala Nagar, Shivaji Nagar, Mumbai, Maharashtra 400043",[],Not available,Unavailable,Unavailable
48,Silent Pro Gaming Zone,Video game store, 4.6 stars ,"Adarsh Nagar, D N Nagar, Uthalsar, Thane West, Thane, Maharashtra 400601",[],077385 55501,Open, ⋅ Closes 11 pm
49,Kakrahta Computer Game Zone,Game store, 3.8 stars ,"Plot No 29/I, 1, Road No. 11, Govandi Slums, Govandi West, Baiganwadi, Shivaji Nagar, Mumbai, Maharashtra 400043",[],086899 74006,Unavailable,Unavailable
50,Yaya Playzone,Indoor playground, 4.4 stars ,"Plot No. 22, Kavrana Estate, Bhai, Balmukund Marg, Chinchpokli, Mumbai, Maharashtra 400012",['yayaplayzone.com'],091364 40564,Open, ⋅ Closes 8 pm
51,Planet Infiniti,Video game store, 4.4 stars ,"5RMM+WR7, Malad, Mindspace, Malad West, Mumbai, Maharashtra 400064",[],Not available,Open, ⋅ Closes 10:30 pm
52,xs games,Game store, 3.7 stars ,"Shop no 1 maria goretti cottage nivetia road, 400097, Malad East, Mumbai, Maharashtra 400097",[],098700 25366,Open, ⋅ Closes 11 pm
53,ARKIDZ,Indoor playground, 4.8 stars ,"1st floor, above Venetian Honda,plot no 95 Kandivali industrial, Hindustan Naka, Kandivali West, Mumbai, Maharashtra 400067",['arkidz.in'],076780 55553,Unavailable,Unavailable
54,GearUP Gaming,Game store, 4.4 stars ,"GearUP Gaming, Hakone, Next to Powai Plaza, Near Go Karting, Central Avenue Road, Mumbai, Maharashtra 400076",['facebook.com'],093202 44885,Open, ⋅ Closes 9:30 pm
55,CYBER CAFE AND GAMING ZONE,Internet cafe, 4.5 stars ,"B.P.S BHAVAN NO. 2, JALARAM ASHISH COMPOUND, Devidayal Rd, Mulund West, Mumbai, Maharashtra 400080",[],098197 11193,Open, ⋅ Closes 10 pm
56,EXC: The Game Changer (Esports Gaming Cafe),Internet cafe, 4.8 stars ,"Vasant Breezy Chambers, 5, 1st Floor, Dr Baba Saheb Ambedkar Rd, Matunga East, Mumbai, Maharashtra 400019",['instagram.com'],093242 38051,Open, ⋅ Closes 10 pm
57,Bombay Board Game Club,Board game club, 4.6 stars ,"Bombay Board Game Club, 206, Man Excellenza, SV road, Road, Irla, Vile Parle West, Mumbai, Maharashtra 400056",[],097695 73347,Open, ⋅ Closes 9 pm
58,EXOGOS Gamezone,Video game store, 4.8 stars ,"202 Shreeji Ashish, Lohar gali, Station Rd, Thane West, Thane, Maharashtra 400601",['instagram.com'],Not available,Open, ⋅ Closes 9 pm
59,VRuom,Game store, 5.0 stars ,"345, 3rd Floor, Planet Infiniti, Infiniti Mall, Malad West, Mumbai, Maharashtra 400064",[],076780 12233,Unavailable,Unavailable
60,Fun City,Game store, 4.2 stars ,"Eastern Express Hwy, Runwal Nagar, Thane West, Mumbai, Maharashtra 400610",['funcity.in'],Not available,Open, ⋅ Closes 10 pm
61,Hakone Entertainment Centre,Children's amusement center, 4.0 stars ,"Central Avenue, Opp Nirvana Park, Hiranandani Gardens, Powai, next to Powai Plaza, Mumbai, Maharashtra 400076",['hakonefun.com'],072080 72735,Closed, ⋅ Opens 2:30 pm
62,All tiyp games,Video game store,No rating available,"Kids zone Shop no 100 As soping center ss, Musafir Khana Rd, Mumbai, Maharashtra 400001",[],Not available,Unavailable,Unavailable
63,Play Zone,Store, 4.5 stars ,"77-A, Hill Rd, Ranwar, Bandra West, Mumbai, Maharashtra 400050",[],Not available,Open, ⋅ Closes 8 pm
64,Shrikrishna Cyber Cafe & Gaming Zone,Internet cafe, 3.5 stars ,"134, Khan Abdul Gaffar Khan Road, Worli Sea Face, Worli, Mumbai, Maharashtra 400030",[],Not available,Open, ⋅ Closes 9 pm
65,GAME WORLD,Video game store, 3.3 stars ,"Gokuldas Tejpal Hospital, ASHOKA SHOPPING CENTRE SHOP NO 45/66, Lokmanya Tilak Rd, Mumbai, Maharashtra 400001",['indiamart.com'],Not available,Open, ⋅ Closes 8 pm
66,Quak Crz Gaming Zone,Game store, 3.8 stars ,"3XFX+P9R, Vashi-Turbhe Rd, Juhu Nagar, Sector 17, Vashi, Navi Mumbai, Maharashtra 400703",[],Not available,Open, ⋅ Closes 8 pm
67,MTown Cafe and Game Zone,Restaurant, 5.0 stars ,"Oshiwara, Jogeshwari West, Mumbai, Maharashtra 400047",[],Not available,Open, ⋅ Closes 2:01 am
68,WIN CYBER CAFE AND GAMING ZONE,Internet cafe, 3.8 stars ,"90 Feet Road Sai Baba Nagar, Indira Nagar, Dharavi, Mumbai, Maharashtra 400017",[],088983 68392,Open, ⋅ Closes 11 pm
69,"Pacific Gaming Cafe, Kandivali West",Entertainer, 4.6 stars ,"Shop No 26, 1st Floor X Central Mall, Boraspada Rd, Mahavir Nagar, Kandivali West, Maharashtra 400067",[],089281 62002,Open, ⋅ Closes 10 pm
70,Circle Gaming Cafe Dadar,Video game store, 4.0 stars ,"Shop no-8, Sunshine Heights, Guruji marg, PL Kale Guruji Marg, near Jain Hospital, Dadar West, Dadar, Mumbai, Maharashtra 400028",[],096194 76760,Open, ⋅ Closes 12 am
71,Balaji Video Parlour,Video game store, 3.0 stars ,"C-1, Gurunanak Rd, Bandra West, Mumbai, Maharashtra 400050",[],Not available,Open, ⋅ Closes 10 pm
72,"Happy Planet Kurla- Playzone for Kids,Teenagers & Adults",Indoor playground, 4.0 stars ,"Phoenix Market City, Level, 1, Lal Bahadur Shastri Rd, Kurla West, Mumbai, Maharashtra 400070",['happyplanet.in'],098330 67879,Open, ⋅ Closes 9 pm
73,Royal Flash Video Game,Game store, 5.0 stars ,"190/Shop no.1, New LInk Road, Oshwarra LInk Road, Andheri West, Mumbai, Maharashtra 400053",[],090968 13290,Open, ⋅ Closes 11 pm
74,LSG LAN Center,Video arcade, 4.5 stars ,"Prime Mall, T4, Third Floor, Irla Rd, near Alfa Market, Vile Parle West, Mumbai, Maharashtra 400056",['lsglive.in'],095944 41121,Open, ⋅ Closes 8 pm
75,Virtual Reality Gaming Centres,Video game store, 5.0 stars ,"No.462, CST Road, Kolivery Village, Buddha Colony, Kurla West, Kurla, Mumbai, Maharashtra 400098",[],Not available,Open, ⋅ Closes 9:30 pm
76,Foreverland,Amusement center, 4.9 stars ,"R City Mall, 65/66, 2nd floor, Lal Bahadur Shastri Rd, Ghatkopar West, Mumbai, Maharashtra 400086",['foreverland.in'],080979 96245,Open, ⋅ Closes 9:30 pm
77,New click zone cyber cafe system and solutions,Internet cafe, 4.8 stars ,"Kamla Raman Nagar, near raza masjid, Baiganwadi, Govandi East, Mumbai, Maharashtra 400043",[],099674 80262,Open, ⋅ Closes 11:30 pm
78,KNOCKTURNAL ESPORTS CAFE,Video arcade, 4.8 stars ,"103 , Shri Ram Industrial Estate, Old Nagardas Rd, opp. Tiwari Chahawala, Andheri East, Mumbai, Maharashtra 400069",['facebook.com'],081045 97659,Unavailable,Open 24 hours
79,Games The Shop,Game store, 4.0 stars ,"Inside: Hamleys Toy Store, 1st Floor, High Street Phoenix Mall, Tulsi Pipe Rd, Lower Parel, Mumbai, Maharashtra 400013",['gamestheshop.com'],Not available,Open, ⋅ Closes 10 pm
80,Games Station,Video game store, 5.0 stars ,"Raghuvanshi Mills, Tulsi Pipe Rd, Gandhi Nagar, Upper Worli, Lower Parel, Mumbai, Maharashtra 400013",[],Not available,Open, ⋅ Closes 5 pm
81,Fun city,Children's amusement center, 4.4 stars ,"3rd floor, infinity mall, Malad, Mumbai, Maharashtra 400064",['funcity.in'],Not available,Open, ⋅ Closes 8 pm
82,Cyber Cafe Internet cafe,Internet cafe, 4.8 stars ,"SHOP NO-03 SALAMAT MANTION, Sayani Rd, opp. RAVINDRA NATYA MANDIR, Prabhadevi, Mumbai, Maharashtra 400025",[],098209 18596,Open, ⋅ Closes 11:45 pm
83,Play Around,Children's amusement center, 4.2 stars ,"Ambika Industries, Ground Floor, M.G. Road 1, Opposite Samta Krida, Bhavan, Kandivali West, next to Tata Motors, Mumbai, Maharashtra 400067",['playaround.co.in'],093247 93884,Open, ⋅ Closes 9:30 pm
84,The Zone,Game store, 5.0 stars ,"6X27+3X3, Ganeshwadi, Thane West, Thane, Maharashtra 400601",[],Not available,Open, ⋅ Closes 10:30 pm
85,G square gadgets n games,Video game store, 1.8 stars ,"6/53, The legend, Jain Mandir Rd, near Banarsi Sweets, Santacruz East, Mumbai, Maharashtra 400055",[],086524 68986,Open, ⋅ Closes 9:30 pm
86,District 13 The Gaming Zone,Game store, 4.4 stars ,"Shop No-20/E-wing, Sumit Samarth Arcade, Aarey Rd, behind Jain Mandir, Jawahar Nagar, Goregaon West, Mumbai, Maharashtra 400062",[],090041 75707,Unavailable,Temporarily closed
87,Pro-Gamer's The Arena,Video game store, 4.5 stars ,"Income Tax Colony, Natwar Nagar Rd Number 2, near Swami School, Meghwadi, Jogeshwari East, Mumbai, Maharashtra 400060",[],073037 38406,Open, ⋅ Closes 10 pm
88,Virus Cybercafe & Game Zone,Internet cafe, 3.0 stars ,"4XFX+97V, Narayan Manoj Madvi Marg, Sector 9, Adarsh Nagar, Ghansoli Gaon, Ghansoli, Navi Mumbai, Maharashtra 400701",[],098210 90809,Open, ⋅ Closes 10 pm
89,GamesKart4u,Video game store, 4.9 stars ,"Universal Pride Plot no 119/B, 6th Floor Flat no 602, Bldg, opp. Odina, behind Vivekanand School, Sindhi Society, Chembur, Mumbai, Maharashtra 400071",[],099674 77391,Unavailable,Open 24 hours
90,Play Win,Video game store, 2.0 stars ,"Ground Floor, 394, Umer Mansion, MS Ali Road, Grant Road East, Grant Road, Mumbai, Maharashtra 400007",[],077389 81615,Open, ⋅ Closes 9 pm
91,World Of Games,Internet cafe, 4.5 stars ,"Jyoti Studio Compound, Shapur Baug, Girgaon, Mumbai, Maharashtra 400007",[],098217 86758,Unavailable,Unavailable
92,NEXGEN COMPUTERS & GAMING ZONE,Computer store, 5.0 stars ,"Plot no 33/V/5 Road no 4 5, Cross Road, near Geeta Vikas School, Govandi West, Shivaji Nagar, Mumbai, Maharashtra 400043",[],079770 49089,Open, ⋅ Closes 10:30 pm
93,Play Zone House Of Toy`s,Toy store, 3.8 stars ,"77-A, Hill Road, Opposite Gazebo Oriental Restaurant, Bandra, Mumbai, Maharashtra 400050",[],Not available,Open, ⋅ Closes 8 pm
94,Retaliate Gaming Cafe,Video game store, 4.8 stars ,"2/16, First floor back side, 3, Mahatma Gandhi Rd, Unnat Nagar, Goregaon West, Mumbai, Maharashtra 400104",['instagram.com'],088502 11659,Open, ⋅ Closes 11 pm
95,Play Eat Live,Internet cafe, 1.7 stars ,"Shop No.15, Vidyavihar Station Skywalk, Below Skywalk, Vidyavihar Station Road, Jay Prakash Nagar, ONGC Colony, Vidyavihar, Mumbai, Maharashtra 400077",[],098331 83983,Open, ⋅ Closes 9 pm
96,No Escape,Outdoor sports store, 4.4 stars ,"Shop No 06 Chincholi Bunder New Link Road, Malad West, Gala No 6, Khokawala Compound Chincholi Bunder, New Link Rd, Malad, Ram Nagar, Mumbai, Maharashtra 400064",['noescape.in'],091522 33447,Open, ⋅ Closes 9 pm
97,Online Gaming Zone,Video game store,No rating available,"Sakinaka metro station Sakinaka, Kurla 90fit, road, Mumbai, Maharashtra 400083",[],Not available,Unavailable,Temporarily closed
98,No Escape Bandra : Live Mystery Room,Escape room center, 4.6 stars ,"B18, Hill Road, Elco Market, Elco Arcade, Bandra (W, Maharashtra 400050",['noescape.in'],098208 90098,Open, ⋅ Closes 9:30 pm
99,SHUBHAM GAME ZONE,Video arcade,No rating available,"Habib Building, Shop No.10 MM Valley, Mumbai, Maharashtra 400612",[],097684 85122,Unavailable,Unavailable
100,SHUBHAM GAME ZONE,Video arcade,No rating available,"Habib Building, Shop No.10 MM Valley, Mumbai, Maharashtra 400612",[],097684 85122,Unavailable,Unavailable
101,Aalesh & Akshay's Game zone,Game store, 5.0 stars ,"6R3F+362, Marve Rd, Kandivali, Ekta Nagar, Kandivali West, Mumbai, Maharashtra 400064",[],Not available,Unavailable,Temporarily closed
102,Play Over Eat,Children's amusement center, 4.0 stars ,"Janta Industrial Estate Unit No. 3 Opp. High Street Pheonix Mall (Skyzone, Lower Parel, Mumbai, Maharashtra 400013",[],Not available,Unavailable,Temporarily closed
103,Rdk Game Zone,Game store, 3.5 stars ,"No-3 B.M. Plot, BMC Colony, Malvani, Malad West, Mumbai, Maharashtra 400095",[],Not available,Unavailable,Temporarily closed
104,Kurukshetra Gaming Arena,Video game store, 4.2 stars ,"2nd Floor, Star Mall, W,Mumbai,400028, N C. Kelkar Marg, Dadar, Mumbai, Maharashtra 400019",['facebook.com'],Not available,Unavailable,Temporarily closed
105,T HE GAMING ZONE,Video game rental store,No rating available,t-he-gaming-zone.business.site,[],Not available,Unavailable,Temporarily closed
106,Cyber Cafe and Gaming Zone,Internet cafe, 4.0 stars ,"184-B, Bhakti Marg, Kannamwar Nagar II, Vikhroli, Mumbai, Maharashtra 400083",[],Not available,Unavailable,Temporarily closed
107,Gameplex,Game store, 1.0 stars ,"3WG2+P5R, Vidya Vihar, Rd Number 7, Vidyanagar, Vidya Vihar East, Ghatkopar East, Mumbai, Maharashtra 400077",[],Not available,Unavailable,Temporarily closed
108,Fun City Video Game Parlour,Video game store,No rating available,"6VJ5+C9X, Mahatma Gandhi Rd, Chinchpada, Borivali, Mumbai, Maharashtra 400066",[],Not available,Unavailable,Temporarily closed
109,Play Nation,Video game store, 1.0 stars ,"205-A ,Sai Commercial Centre,Opp Mc Donalds, Linking Rd, Khar (W, Mumbai, 400055",[],Not available,Unavailable,Temporarily closed
110,Tisha Planet Zone,Game store,No rating available,"Plot No.18, Shop no- 1B, Swami Vivekananda Rd, Jawahar Nagar, Goregaon West, Mumbai, Maharashtra 400062",[],Not available,Unavailable,Temporarily closed
111,malhar computer gaming zone,Video game store, 3.0 stars ,"9, Nanepada Rd, Patil Nagar, LIC Housing Colony, Mulund East, Mumbai, Maharashtra 400081",[],Not available,Unavailable,Temporarily closed
112,Al Akbar Game Zone,Used game store, 5.0 stars ,"3W6G+WW2, Govandi Slums, Govandi West, Phase II, Shivaji Nagar, Mumbai, Maharashtra 400043",[],Not available,Unavailable,Temporarily closed
113,Om Sai Video Game,Video game store,No rating available,"4WJG+9PX, Kanjur Marg Station, Lal Bahadur Shastri Rd, Ambedkar Nagar, Kanjurmarg West, Bhandup West, Mumbai, Maharashtra 400078",[],Not available,Unavailable,Temporarily closed
114,Video Play Game,Video game store, 4.0 stars ,"317,Ground Floor,Opp:Swadesshi Market, Kalbadevi Rd, Badam Wadi, Kalbadevi, Mumbai, Maharashtra 400002",[],Not available,Unavailable,Temporarily closed
115,Super Star Video Game,Video game store, 4.0 stars ,"2VWV+G8X, Ramakrishna Chemburkar Marg, Ashok Nagar, Collector Colony, Chembur, Mumbai, Maharashtra 400074",[],Not available,Unavailable,Temporarily closed
116,retr_0 Gaming,Video game store,No rating available,"3-27, Narayan Gajanan Acharya Marg, Laxmi Market, Chembur West, Chembur Gaothan, Chembur, Mumbai, Maharashtra 400071",[],Not available,Unavailable,Temporarily closed
117,Game Shop,Game store, 1.0 stars ,"N1 Building, Safed Pul, Saki Naka, Mumbai, Maharashtra 400072",[],Not available,Unavailable,Temporarily closed
118,GameMandi.com,Game store, 4.0 stars ,"203 Kartar Bhavan, 2nd Floor, 121 Shaheed Bhagat Singh Road, Near Electric House, Colaba, Mumbai, Maharashtra 400005",[],Not available,Unavailable,Temporarily closed
119,Star Game Point,Video game store,No rating available,"Konchi Korve, 60 Feet Road, RP Nagar, Dharavi, Mumbai, Maharashtra 400017",[],Not available,Unavailable,Temporarily closed
